v_id,nom_district,v_nom,region
435,Savanne,Piton Savanne,S 
436,Rivière Noire - Black River,Piton St Denis,W 
437,Pamplemousses,Plaine des Calebasses,N 
438,Pamplemousses,Plaine des Papayes,N 
439,Rivière du Rempart,Plaine des Roches,N 
440,Port Louis,Plaine Lauzun,N 
441,Grand Port,Plaine Magnien,S 
442,Plaines Wilhems,Plaine Raoul,C 
443,Plaines Wilhems,Plaine Sophie,C 
444,Port Louis,Plaine Verte,N 
445,Grand Port,Plaisance (Sud),S 
446,Flacq,Pointe aux Boeufs,E 
447,Pamplemousses,Pointe aux Canonniers,N 
448,Rivière Noire - Black River,Pointe aux Caves,W 
449,Grand Port,Pointe aux Feuilles,S 
450,Pamplemousses,Pointe aux Piments,N 
451,Rivière du Rempart,Pointe aux Roches,N 
452,Rivière Noire - Black River,Pointe aux Sables,W 
453,Grand Port,Pointe Bambou,S 
454,Rivière du Rempart,Pointe Bernard,N 
455,Rivière du Rempart,Pointe Bonhomme,N 
456,Grand Port,Pointe Brocus,S 
457,Rivière du Rempart,Pointe Butte aux Sables,N 
458,Grand Port,Pointe Chaour,S 
459,Savanne,Pointe Citronniers,S 
460,Rivière Noire - Black River,Pointe Corail de la Prairie,W 
461,Grand Port,Pointe Corps de Garde,S 
462,Rivière du Rempart,Pointe d'Azur,N 
463,Flacq,Pointe de Flacq,E 
464,Flacq,Pointe de la Batterie,E 
465,Grand Port,Pointe de la Colonie,S 
466,Rivière Noire - Black River,Pointe de la Petite Rivière,W 
467,Rivière du Rempart,Pointe de l'Embarcadère,N 
468,Flacq,Pointe de Roches Noires,E 
469,Grand Port,Pointe des Deux Cocos,S 
470,Rivière Noire - Black River,Pointe des Pêcheurs,W 
471,Grand Port,Pointe des Régates,S 
472,Grand Port,Pointe d'Esny,S 
473,Grand Port,Pointe du Diable,S 
474,Grand Port,Pointe du Hangard,S 
475,Flacq,Pointe du Puits des Hollandais,E 
477,Rivière du Rempart,Pointe Eglise,N 
478,Grand Port,Pointe Jérôme,S 
479,Flacq,Pointe Lafayette,E 
480,Rivière du Rempart,Pointe Lascar,N 
481,Rivière du Rempart,Pointe l'Hortal,N 
482,Rivière du Rempart,Pointe Madras,N 
483,Rivière Noire - Black River,Pointe Marron,W 
484,Rivière Noire - Black River,Pointe Moyenne,W 
485,Rivière du Rempart,Pointe Oscorne,N 
486,Flacq,Pointe Quatre Cocos,E 
487,Flacq,Pointe Radeau,E 
488,Rivière Noire - Black River,Pointe Sud Ouest,W 
489,Grand Port,Pointe Vacoas,S 
490,Savanne,Pomponnette,S 
491,Flacq,Pont Blanc,E 
492,Flacq,Pont Bon Dieu,E 
493,Grand Port,Pont Colville,S 
494,Flacq,Pont Lardier,E 
495,Grand Port,Pont Molino,S 
496,Grand Port,Pont Naturel,S 
497,Flacq,Pont Praslin,E 
498,Port Louis,Port Louis,N 
499,Flacq,Poste de Flacq,E 
500,Flacq,Poste Lafayette,E 
501,Rivière du Rempart,Poudre d'Or,N 
502,Rivière du Rempart,Poudre d'or Hamlet,N 
